Label,Desc,Decision Option,Trade_off
Excluding Family Labour,1,rice-maize-coconut-areca palm,-4766.243988
Excluding Family Labour,1,rice-maize-coconut-areca palm,-2390.032707
Excluding Family Labour,1,rice-maize-coconut-areca palm,-5474.454467
Excluding Family Labour,1,rice-maize-coconut-areca palm,-815.2043083
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1264.467064
Excluding Family Labour,1,rice-maize-coconut-areca palm,-605.0706642
Excluding Family Labour,1,rice-maize-coconut-areca palm,1896.794741
Excluding Family Labour,1,rice-maize-coconut-areca palm,3235.055816
Excluding Family Labour,1,rice-maize-coconut-areca palm,-4388.349758
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1421.156104
Excluding Family Labour,1,rice-maize-coconut-areca palm,9047.613541
Excluding Family Labour,1,rice-maize-coconut-areca palm,4897.335919
Excluding Family Labour,1,rice-maize-coconut-areca palm,-2102.208387
Excluding Family Labour,1,rice-maize-coconut-areca palm,-976.1241181
Excluding Family Labour,1,rice-maize-coconut-areca palm,-3177.607955
Excluding Family Labour,1,rice-maize-coconut-areca palm,3839.850312
Excluding Family Labour,1,rice-maize-coconut-areca palm,341.5904157
Excluding Family Labour,1,rice-maize-coconut-areca palm,-3091.774595
Excluding Family Labour,1,rice-maize-coconut-areca palm,-2580.155027
Excluding Family Labour,1,rice-maize-coconut-areca palm,2135.262197
Excluding Family Labour,1,rice-maize-coconut-areca palm,-3727.498011
Excluding Family Labour,1,rice-maize-coconut-areca palm,3580.678551
Excluding Family Labour,1,rice-maize-coconut-areca palm,2091.201617
Excluding Family Labour,1,rice-maize-coconut-areca palm,-725.3925796
Excluding Family Labour,1,rice-maize-coconut-areca palm,5689.777148
Excluding Family Labour,1,rice-maize-coconut-areca palm,-437.8570949
Excluding Family Labour,1,rice-maize-coconut-areca palm,-2268.025181
Excluding Family Labour,1,rice-maize-coconut-areca palm,-4897.705981
Excluding Family Labour,1,rice-maize-coconut-areca palm,-3295.181181
Excluding Family Labour,1,rice-maize-coconut-areca palm,1918.511054
Excluding Family Labour,1,rice-maize-coconut-areca palm,1414.039164
Excluding Family Labour,1,rice-maize-coconut-areca palm,-601.5857891
Excluding Family Labour,1,rice-maize-coconut-areca palm,-4398.362204
Excluding Family Labour,1,rice-maize-coconut-areca palm,2434.318377
Excluding Family Labour,1,rice-maize-coconut-areca palm,1492.082911
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1794.092486
Excluding Family Labour,1,rice-maize-coconut-areca palm,-8773.278404
Excluding Family Labour,1,rice-maize-coconut-areca palm,-3360.429669
Excluding Family Labour,1,rice-maize-coconut-areca palm,1967.860041
Excluding Family Labour,1,rice-maize-coconut-areca palm,6398.170849
Excluding Family Labour,1,rice-maize-coconut-areca palm,7035.316795
Excluding Family Labour,1,rice-maize-coconut-areca palm,-3658.580218
Excluding Family Labour,1,rice-maize-coconut-areca palm,992.6776953
Excluding Family Labour,1,rice-maize-coconut-areca palm,-218.1076387
Excluding Family Labour,1,rice-maize-coconut-areca palm,-800.1613447
Excluding Family Labour,1,rice-maize-coconut-areca palm,-7772.379418
Excluding Family Labour,1,rice-maize-coconut-areca palm,-4976.125422
Excluding Family Labour,1,rice-maize-coconut-areca palm,-6758.982998
Excluding Family Labour,1,rice-maize-coconut-areca palm,-3184.576199
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1819.800962
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1263.325857
Excluding Family Labour,1,rice-maize-coconut-areca palm,-2355.62174
Excluding Family Labour,1,rice-maize-coconut-areca palm,-3603.045081
Excluding Family Labour,1,rice-maize-coconut-areca palm,1276.458949
Excluding Family Labour,1,rice-maize-coconut-areca palm,-3004.964048
Excluding Family Labour,1,rice-maize-coconut-areca palm,1982.955092
Excluding Family Labour,1,rice-maize-coconut-areca palm,5083.448432
Excluding Family Labour,1,rice-maize-coconut-areca palm,-983.0276453
Excluding Family Labour,1,rice-maize-coconut-areca palm,-9240.878227
Excluding Family Labour,1,rice-maize-coconut-areca palm,-8618.324231
Excluding Family Labour,1,rice-maize-coconut-areca palm,1468.970122
Excluding Family Labour,1,rice-maize-coconut-areca palm,1246.79477
Excluding Family Labour,1,rice-maize-coconut-areca palm,-6830.605185
Excluding Family Labour,1,rice-maize-coconut-areca palm,-4039.039865
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1442.69176
Excluding Family Labour,1,rice-maize-coconut-areca palm,-11232.57445
Excluding Family Labour,1,rice-maize-coconut-areca palm,-2058.511397
Excluding Family Labour,1,rice-maize-coconut-areca palm,-5579.484365
Excluding Family Labour,1,rice-maize-coconut-areca palm,9644.58515
Excluding Family Labour,1,rice-maize-coconut-areca palm,-13639.16198
Excluding Family Labour,1,rice-maize-coconut-areca palm,-8489.107945
Excluding Family Labour,1,rice-maize-coconut-areca palm,-3579.284228
Excluding Family Labour,1,rice-maize-coconut-areca palm,-172.848975
Excluding Family Labour,1,rice-maize-coconut-areca palm,365.7861245
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1506.297439
Excluding Family Labour,1,rice-maize-coconut-areca palm,2832.848774
Excluding Family Labour,1,rice-maize-coconut-areca palm,6939.611345
Excluding Family Labour,1,rice-maize-coconut-areca palm,3349.796426
Excluding Family Labour,1,rice-maize-coconut-areca palm,-153.7688658
Excluding Family Labour,1,rice-maize-coconut-areca palm,-7703.237621
Excluding Family Labour,1,rice-maize-coconut-areca palm,5679.203311
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1268.122366
Excluding Family Labour,1,rice-maize-coconut-areca palm,-3417.105191
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1061.256587
Excluding Family Labour,1,rice-maize-coconut-areca palm,-4488.945929
