Label,Desc,Decision Option,Tradeoff
Including Family Labour,2,rubber-areca palm-durian,20021.36487
Including Family Labour,2,rubber-areca palm-durian,21017.0688
Including Family Labour,2,rubber-areca palm-durian,10548.96554
Including Family Labour,2,rubber-areca palm-durian,7043.656871
Including Family Labour,2,rubber-areca palm-durian,15962.27138
Including Family Labour,2,rubber-areca palm-durian,7122.92947
Including Family Labour,2,rubber-areca palm-durian,10130.06289
Including Family Labour,2,rubber-areca palm-durian,13259.36321
Including Family Labour,2,rubber-areca palm-durian,11753.4452
Including Family Labour,2,rubber-areca palm-durian,4993.534283
Including Family Labour,2,rubber-areca palm-durian,22539.88208
Including Family Labour,2,rubber-areca palm-durian,4725.76465
Including Family Labour,2,rubber-areca palm-durian,4701.557336
Including Family Labour,2,rubber-areca palm-durian,11207.8959
Including Family Labour,2,rubber-areca palm-durian,16795.33579
Including Family Labour,2,rubber-areca palm-durian,5823.888363
Including Family Labour,2,rubber-areca palm-durian,5399.477714
Including Family Labour,2,rubber-areca palm-durian,7441.964321
Including Family Labour,2,rubber-areca palm-durian,15298.11839
Including Family Labour,2,rubber-areca palm-durian,8564.753523
Including Family Labour,2,rubber-areca palm-durian,14775.93147
Including Family Labour,2,rubber-areca palm-durian,13241.25728
Including Family Labour,2,rubber-areca palm-durian,5845.225189
Including Family Labour,2,rubber-areca palm-durian,8907.900836
Including Family Labour,2,rubber-areca palm-durian,11988.93363
Including Family Labour,2,rubber-areca palm-durian,10035.50958
Including Family Labour,2,rubber-areca palm-durian,10118.07518
Including Family Labour,2,rubber-areca palm-durian,5753.88568
Including Family Labour,2,rubber-areca palm-durian,10425.92717
Including Family Labour,2,rubber-areca palm-durian,24232.53405
Including Family Labour,2,rubber-areca palm-durian,13856.61613
Including Family Labour,2,rubber-areca palm-durian,14959.97915
Including Family Labour,2,rubber-areca palm-durian,10676.26135
Including Family Labour,2,rubber-areca palm-durian,11830.59469
Including Family Labour,2,rubber-areca palm-durian,9053.697658
Including Family Labour,2,rubber-areca palm-durian,9003.0001
Including Family Labour,2,rubber-areca palm-durian,11126.37044
Including Family Labour,2,rubber-areca palm-durian,9786.237199
Including Family Labour,2,rubber-areca palm-durian,1656.481833
Including Family Labour,2,rubber-areca palm-durian,7173.098788
Including Family Labour,2,rubber-areca palm-durian,3989.970785
Including Family Labour,2,rubber-areca palm-durian,11636.46971
Including Family Labour,2,rubber-areca palm-durian,11737.07303
Including Family Labour,2,rubber-areca palm-durian,6932.809432
Including Family Labour,2,rubber-areca palm-durian,20175.51979
Including Family Labour,2,rubber-areca palm-durian,17389.07273
Including Family Labour,2,rubber-areca palm-durian,17374.46704
Including Family Labour,2,rubber-areca palm-durian,7076.512473
Including Family Labour,2,rubber-areca palm-durian,8146.881596
Including Family Labour,2,rubber-areca palm-durian,15343.38164
Including Family Labour,2,rubber-areca palm-durian,11109.35371
Including Family Labour,2,rubber-areca palm-durian,28359.47601
Including Family Labour,2,rubber-areca palm-durian,22371.33245
Including Family Labour,2,rubber-areca palm-durian,13398.22282
Including Family Labour,2,rubber-areca palm-durian,22974.89228
Including Family Labour,2,rubber-areca palm-durian,15267.26284
Including Family Labour,2,rubber-areca palm-durian,14725.17359
Including Family Labour,2,rubber-areca palm-durian,13353.28447
Including Family Labour,2,rubber-areca palm-durian,8492.185132
Including Family Labour,2,rubber-areca palm-durian,4187.483522
Including Family Labour,2,rubber-areca palm-durian,10878.70248
Including Family Labour,2,rubber-areca palm-durian,4458.784287
Including Family Labour,2,rubber-areca palm-durian,10332.46852
Including Family Labour,2,rubber-areca palm-durian,26967.5928
Including Family Labour,2,rubber-areca palm-durian,21772.72353
Including Family Labour,2,rubber-areca palm-durian,7616.212218
Including Family Labour,2,rubber-areca palm-durian,9406.699472
Including Family Labour,2,rubber-areca palm-durian,4200.639586
Including Family Labour,2,rubber-areca palm-durian,6426.885053
Including Family Labour,2,rubber-areca palm-durian,10282.12505
Including Family Labour,2,rubber-areca palm-durian,2090.940435
Including Family Labour,2,rubber-areca palm-durian,18451.72622
Including Family Labour,2,rubber-areca palm-durian,14215.24692
Including Family Labour,2,rubber-areca palm-durian,18787.61359
Including Family Labour,2,rubber-areca palm-durian,9999.370606
Including Family Labour,2,rubber-areca palm-durian,9648.979481
Including Family Labour,2,rubber-areca palm-durian,10440.39921
Including Family Labour,2,rubber-areca palm-durian,12268.92801
Including Family Labour,2,rubber-areca palm-durian,14728.13595
Including Family Labour,2,rubber-areca palm-durian,17445.03129
Including Family Labour,2,rubber-areca palm-durian,11461.46686
Including Family Labour,2,rubber-areca palm-durian,10252.502
Including Family Labour,2,rubber-areca palm-durian,13965.98825
Including Family Labour,2,rubber-areca palm-durian,5666.733178
Including Family Labour,2,rubber-areca palm-durian,16000.18676
Including Family Labour,2,rubber-areca palm-durian,16635.9565
Including Family Labour,2,rubber-areca palm-durian,3598.902695
Including Family Labour,2,rubber-areca palm-durian,4146.675534
Including Family Labour,2,rubber-areca palm-durian,8189.952286
Including Family Labour,2,rubber-areca palm-durian,11694.10658
Including Family Labour,2,rubber-areca palm-durian,11573.70216
Including Family Labour,2,rubber-areca palm-durian,7191.062978
Including Family Labour,2,rubber-areca palm-durian,5927.227623
Including Family Labour,2,rubber-areca palm-durian,13290.25299
Including Family Labour,2,rubber-areca palm-durian,16753.01229
Including Family Labour,2,rubber-areca palm-durian,12664.97892
Including Family Labour,2,rubber-areca palm-durian,19448.55614
Including Family Labour,2,rubber-areca palm-durian,13131.86413
Including Family Labour,2,rubber-areca palm-durian,17975.44599
Including Family Labour,2,rubber-areca palm-durian,7585.998879
Including Family Labour,2,rubber-areca palm-durian,6657.45314
Including Family Labour,2,rubber-areca palm-durian,12434.42056
Including Family Labour,2,rubber-areca palm-durian,22589.61422
Including Family Labour,2,rubber-areca palm-durian,4167.491271
Including Family Labour,2,rubber-areca palm-durian,12514.57603
Including Family Labour,2,rubber-areca palm-durian,36961.3106
Including Family Labour,2,rubber-areca palm-durian,19394.18223
Including Family Labour,2,rubber-areca palm-durian,14409.8646
Including Family Labour,2,rubber-areca palm-durian,29441.58154
Including Family Labour,2,rubber-areca palm-durian,18836.59656
Including Family Labour,2,rubber-areca palm-durian,6924.081945
Including Family Labour,2,rubber-areca palm-durian,16034.52304
Including Family Labour,2,rubber-areca palm-durian,7373.132804
Including Family Labour,2,rubber-areca palm-durian,22576.82643
Including Family Labour,2,rubber-areca palm-durian,9836.768529
Including Family Labour,2,rubber-areca palm-durian,7751.94313
Including Family Labour,2,rubber-areca palm-durian,19353.47566
Including Family Labour,2,rubber-areca palm-durian,22348.76257
Including Family Labour,2,rubber-areca palm-durian,12136.0099
Including Family Labour,2,rubber-areca palm-durian,19329.33474
Including Family Labour,2,rubber-areca palm-durian,12695.04906
Including Family Labour,2,rubber-areca palm-durian,13086.19431
Including Family Labour,2,rubber-areca palm-durian,7742.976531
Including Family Labour,2,rubber-areca palm-durian,16419.53619
Including Family Labour,2,rubber-areca palm-durian,16203.03434
Including Family Labour,2,rubber-areca palm-durian,6801.25741
Including Family Labour,2,rubber-areca palm-durian,20424.33627
Including Family Labour,2,rubber-areca palm-durian,6460.669897
Including Family Labour,2,rubber-areca palm-durian,13742.21382
Including Family Labour,2,rubber-areca palm-durian,35415.19969
Including Family Labour,2,rubber-areca palm-durian,-559.4217273
Including Family Labour,2,rubber-areca palm-durian,7484.144347
Including Family Labour,2,rubber-areca palm-durian,7918.287561
Including Family Labour,2,rubber-areca palm-durian,19248.91881
Including Family Labour,2,rubber-areca palm-durian,13942.42612
Including Family Labour,2,rubber-areca palm-durian,2990.893559
Including Family Labour,2,rubber-areca palm-durian,15452.04429
Including Family Labour,2,rubber-areca palm-durian,25256.12019
Including Family Labour,2,rubber-areca palm-durian,11219.26003
Including Family Labour,2,rubber-areca palm-durian,11668.66878
Including Family Labour,2,rubber-areca palm-durian,6653.642346
Including Family Labour,2,rubber-areca palm-durian,26462.12533
Including Family Labour,2,rubber-areca palm-durian,1857.16325
Including Family Labour,2,rubber-areca palm-durian,16958.9651
Including Family Labour,2,rubber-areca palm-durian,13344.57152
Including Family Labour,2,rubber-areca palm-durian,8571.345039
Including Family Labour,2,rubber-areca palm-durian,9348.00677
Including Family Labour,2,rubber-areca palm-durian,18238.87396
Including Family Labour,2,rubber-areca palm-durian,12924.48041
Including Family Labour,2,rubber-areca palm-durian,10282.75921
Including Family Labour,2,rubber-areca palm-durian,23535.68998
Including Family Labour,2,rubber-areca palm-durian,22247.18255
Including Family Labour,2,rubber-areca palm-durian,9725.313417
